t,Bx,By,Bz
240.04,-586.369817512238,-2454.26877458489,-2522.23994666726
240.06,-580.206931972668,-2449.28217793588,-2522.1024009029
240.08,-575.470421337201,-2444.054737314,-2520.77631192626
240.1,-571.83271891055,-2438.78242324547,-2519.15318102465
240.12,-569.006074413775,-2433.65451541061,-2519.06455176671
240.14,-567.270878001898,-2428.34858308521,-2519.28015684726
240.16,-566.8924984831,-2422.49380414924,-2519.60306189905
240.18,-567.8898053479,-2416.42845544064,-2521.95089047235
240.2,-570.304550867356,-2410.73850054794,-2525.37887228822
240.22,-574.24930062679,-2405.27667427603,-2527.15548361616
240.24,-578.973108489958,-2400.10643056129,-2528.98148098861
240.26,-584.00599604493,-2396.04105607013,-2532.07025670332
240.28,-589.427930399701,-2392.72812967801,-2535.44961770055
240.3,-596.187024745492,-2390.11992581425,-2537.85570338568
240.32,-604.878557589696,-2388.83366295696,-2541.62415673219
240.34,-613.504240207216,-2387.69068441363,-2547.42958335174
240.36,-619.580188794532,-2386.4589207866,-2552.52774304834
240.38,-625.027910726566,-2386.04804531268,-2555.42918604374
240.4,-626.957579867554,-2387.3573682986,-2556.81941050676
240.42,-620.918039854961,-2394.24525292633,-2558.31607179774
240.44,-615.645921234105,-2400.77278600011,-2558.75576546254
240.46,-611.111181754946,-2405.41104672639,-2557.33809414563
240.48,-606.447868092432,-2411.00637230771,-2557.01308915389
240.5,-603.862107184772,-2416.10812905814,-2556.92082943426
240.52,-607.129077633811,-2416.27704747121,-2558.2851313971
240.54,-609.293665498894,-2416.64531501065,-2559.25566328556
240.56,-610.705774074186,-2417.24655730698,-2559.47593483878
240.58,-611.799803631524,-2418.58376329186,-2561.51839268839
240.6,-613.265509505083,-2419.95849143711,-2563.70602866284
240.62,-618.97125652309,-2426.2273376106,-2562.84284110999
240.64,-624.019486952307,-2432.27312968652,-2560.52803912677
240.66,-628.560763581807,-2439.22879594581,-2557.84368423748
240.68,-632.780076782748,-2446.21289892919,-2554.48998623708
240.7,-637.748977213332,-2451.19242228843,-2549.40341816245
240.72,-641.520315810158,-2456.08146343163,-2545.0456144199
240.74,-643.878275965943,-2461.62624146867,-2540.39713815109
240.76,-648.05537439154,-2467.03499546689,-2535.59889019244
240.78,-650.073027521944,-2466.02870825728,-2535.60160045821
240.8,-651.0875603702,-2465.02202892129,-2535.60407997294
240.82,-650.100241864259,-2465.01761181773,-2535.60678242465
240.84,-648.112995794951,-2465.01260086781,-2536.60939447008
240.86,-647.1248692832,-2466.00776755523,-2537.61126019147
240.88,-647.13859867801,-2467.00465889951,-2537.6140398818
240.9,-647.151824559095,-2465.99960113073,-2537.61707577036
240.92,-647.163692699778,-2465.99596929378,-2536.61914022877
240.94,-648.175071725094,-2465.99407147871,-2535.62168596833
240.96,-648.184302276594,-2464.98985615272,-2535.62422312162
240.98,-647.193708085593,-2465.98803316374,-2535.62970671001
241,-644.202564710892,-2467.98607196889,-2535.63626884453
241.02,-643.213971193218,-2470.98343206151,-2531.64401494234
241.04,-643.226551445627,-2470.98004091193,-2529.65126349099
241.06,-646.238943334594,-2470.97787504514,-2533.6598547584
241.08,-649.2529574879,-2469.9762937269,-2535.66899850268
241.1,-647.265036025295,-2467.97714999566,-2534.68082699342
241.12,-647.278337169944,-2468.97808099293,-2534.69159478793
241.14,-648.287529001753,-2468.97731381728,-2535.70345406755
241.16,-649.295861401192,-2467.97897298297,-2534.7161890472
241.18,-649.30153840982,-2466.98053884938,-2534.72769114403
241.2,-649.308830075945,-2466.98375674321,-2535.73980857548
241.22,-649.316192895526,-2465.98744311551,-2536.75068845196
241.24,-649.323344842697,-2465.99073336038,-2537.76170545009
241.26,-649.330011206601,-2467.9926794372,-2537.77228167248
241.28,-648.335338390513,-2467.99460059465,-2536.78292574359
241.3,-647.340748198561,-2467.99633352278,-2534.79413209743
241.32,-647.34882344001,-2468.9987958767,-2534.80534046964
241.34,-647.357044408001,-2468.00082375498,-2535.81562522186
241.36,-647.368781970489,-2467.00462078694,-2535.82482069102
241.38,-647.379178951083,-2467.00586147633,-2534.83338492136
241.4,-647.386332582156,-2467.00890096318,-2535.84062807481
241.42,-647.392478676068,-2468.01173245271,-2536.84709954421
